primo_tentativo;secondo_tentativo
250;220
210;280
136;280
250;285
450;267
240;330
251;253
210;200
;350
;275
187;466
96;
135;380
350;260
210;
400;279
260;134
450;270
219;263
175;213
330;300
287;296
291;277
115;
270;180
275;275
293;270
177;279
204;249
264;293
220;330
142;148
305;370
300;300
201;210
426;466
317;269
168;256
145;200
112;279
250;298
370;220
255;280
;351
149;
227;215
670;1096
213;127
270;280
213;153
185;465
190;280
167;235
247;247
235;262
167;289
;276
362;322
291;280
;268
345;280
125;220
300;250
280;280
250;280
207;226
190;230
163;298
400;275
297;278
160;190
227;250
157;202
250;275
187;423
184;
247;338
211;
187;256
133;38
;390
315;293
79;265
335;300
260;281
218;263
248;
225;280
330;298
197;253
250;275
244;279
;263
189;238
295;100
