Squadra,Giocatori,Valore_milioni_euro,Anno
Juventus FC,25,602.90,2021
Inter Milan,28,525.90,2021
SSC Napoli,25,518.55,2021
AC Milan,29,476.70,2021
AS Roma,30,429.25,2021
Atalanta BC,26,415.35,2021
SS Lazio,33,311.30,2021
ACF Fiorentina,26,253.80,2021
US Sassuolo,27,216.90,2021
Torino FC,30,185.93,2021
Cagliari Calcio,28,147.18,2021
Bologna FC 1909,30,145.50,2021
UC Sampdoria,27,120.80,2021
Hellas Verona,26,109.35,2021
Udinese Calcio,26,103.00,2021
Genoa CFC,34,96.60,2021
FC Empoli  Italian,28,77.65,2021
Spezia Calcio,31,74.70,2021
Venezia FC  ,34,68.50,2021
US Salernitana 1919  ,30,36.15,2021
Juventus FC Italian,38,422.00,2016
Inter Milan,41,318.85,2016
SSC Napoli,37,303.90,2016
AS Roma,47,285.43,2016
AC Milan,39,223.33,2016
ACF Fiorentina,42,192.23,2016
SS Lazio,45,171.25,2016
Torino FC,49,133.40,2016
Genoa CFC,44,107.63,2016
Udinese Calcio,44,105.33,2016
US Sassuolo,47,92.90,2016
UC Sampdoria,41,87.55,2016
Bologna FC 1909,47,86.78,2016
Atalanta BC,44,80.23,2016
Cagliari Calcio,46,63.23,2016
Empoli FC,42,58.33,2016
Chievo Verona,44,45.90,2016
Delfino Pescara 1936  ,50,44.45,2016
US Palermo,39,42.78,2016
FC Crotone  ,37,24.90,2016
FC Internazionale Italian Cup winner 09/10Italian Champion 09/10Champions League Winner 09/10,44,390.15,2010
AC Milan,45,361.35,2010
Juventus FC,51,332.43,2010
AS Roma,43,257.00,2010
ACF Fiorentina,42,207.73,2010
Genoa CFC,45,168.70,2010
SSC Napoli,31,142.50,2010
UC Sampdoria,46,129.15,2010
SS Lazio,44,116.25,2010
Udinese Calcio,40,112.55,2010
Parma FC,43,103.43,2010
US Palermo,45,87.80,2010
Cagliari Calcio,37,74.13,2010
Calcio Catania,35,68.70,2010
AC Cesena  ,45,64.90,2010
AS Bari,46,63.45,2010
Chievo Verona,43,55.20,2010
Brescia Calcio  ,43,49.10,2010
Bologna FC 1909,38,47.18,2010
US Lecce  Italian Serie B champion 09/10,37,35.50,2010
Juventus FC,45.00,720.58,2020
Inter Milan,42.00,649.40,2020
SSC Napoli,32.00,523.43,2020
AC Milan,42.00,405.28,2020
AS Roma,46.00,356.40,2020
SS Lazio,44.00,343.48,2020
Atalanta BC,39.00,311.35,2020
ACF Fiorentina,41.00,296.35,2020
Cagliari Calcio,42.00,196.90,2020
Torino FC,40.00,189.75,2020
US Sassuolo,39.00,160.80,2020
Udinese Calcio,42.00,145.05,2020
Bologna FC 1909,45.00,141.20,2020
Parma Calcio 1913,53.00,132.50,2020
UC Sampdoria,34.00,131.88,2020
Genoa CFC,44.00,116.93,2020
Hellas Verona,46.00,116.45,2020
Benevento Calcio,36.00,60.25,2020
FC Crotone,41.00,47.53,2020
Spezia Calcio,39.00,41.53,2020
