Sessione;Elezione;Nome_Elezione;Sezione;Municipio;Lista;Voti
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Alleanza Verdi e Sinistra;14
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Alternativa Popolare;1
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Azione - Siamo Europei;48
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Forza Italia - Noi Moderati - PPE;69
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Fratelli D'Italia;144
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Lega Salvini Premier;29
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Libertà;2
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Movimento 5 Stelle;8
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Pace Terra Dignità;7
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Partito Democratico;71
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Rassemblement Valdôtain;1
2024-06-08;1;Elezione del Parlamento Europeo;1;1;Stati Uniti D'Europa;38
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Alleanza Verdi e Sinistra;13
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Alternativa Popolare;0
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Azione - Siamo Europei;0
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Forza Italia - Noi Moderati - PPE;11
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Fratelli D'Italia;34
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Lega Salvini Premier;19
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Libertà;0
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Movimento 5 Stelle;11
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Pace Terra Dignità;2
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Partito Democratico;24
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Rassemblement Valdôtain;1
2024-06-08;1;Elezione del Parlamento Europeo;2;8;Stati Uniti D'Europa;2
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Alleanza Verdi e Sinistra;50
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Alternativa Popolare;2
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Azione - Siamo Europei;15
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Forza Italia - Noi Moderati - PPE;29
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Fratelli D'Italia;99
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Lega Salvini Premier;36
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Libertà;1
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Movimento 5 Stelle;33
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Pace Terra Dignità;8
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Partito Democratico;108
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Rassemblement Valdôtain;0
2024-06-08;1;Elezione del Parlamento Europeo;3;8;Stati Uniti D'Europa;5
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Alleanza Verdi e Sinistra;38
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Alternativa Popolare;0
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Azione - Siamo Europei;28
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Forza Italia - Noi Moderati - PPE;25
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Fratelli D'Italia;135
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Lega Salvini Premier;30
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Libertà;4
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Movimento 5 Stelle;39
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Pace Terra Dignità;10
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Partito Democratico;107
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Rassemblement Valdôtain;0
2024-06-08;1;Elezione del Parlamento Europeo;4;7;Stati Uniti D'Europa;13
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Alleanza Verdi e Sinistra;15
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Alternativa Popolare;1
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Azione - Siamo Europei;31
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Forza Italia - Noi Moderati - PPE;42
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Fratelli D'Italia;83
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Lega Salvini Premier;23
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Libertà;0
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Movimento 5 Stelle;11
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Pace Terra Dignità;3
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Partito Democratico;65
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Rassemblement Valdôtain;0
2024-06-08;1;Elezione del Parlamento Europeo;5;1;Stati Uniti D'Europa;48
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Alleanza Verdi e Sinistra;61
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Alternativa Popolare;1
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Azione - Siamo Europei;21
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Forza Italia - Noi Moderati - PPE;24
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Fratelli D'Italia;106
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Lega Salvini Premier;35
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Libertà;0
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Movimento 5 Stelle;33
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Pace Terra Dignità;15
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Partito Democratico;149
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Rassemblement Valdôtain;1
2024-06-08;1;Elezione del Parlamento Europeo;6;9;Stati Uniti D'Europa;20
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Alleanza Verdi e Sinistra;19
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Alternativa Popolare;2
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Azione - Siamo Europei;56
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Forza Italia - Noi Moderati - PPE;69
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Fratelli D'Italia;151
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Lega Salvini Premier;24
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Libertà;1
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Movimento 5 Stelle;6
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Pace Terra Dignità;10
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Partito Democratico;91
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Rassemblement Valdôtain;2
2024-06-08;1;Elezione del Parlamento Europeo;7;1;Stati Uniti D'Europa;59
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Alleanza Verdi e Sinistra;61
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Alternativa Popolare;0
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Azione - Siamo Europei;45
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Forza Italia - Noi Moderati - PPE;40
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Fratelli D'Italia;88
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Lega Salvini Premier;23
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Libertà;0
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Movimento 5 Stelle;21
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Pace Terra Dignità;16
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Partito Democratico;163
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Rassemblement Valdôtain;0
2024-06-08;1;Elezione del Parlamento Europeo;8;6;Stati Uniti D'Europa;37
2024-06-08;1;Elezione del Parlamento Europeo;9;1;Alleanza Verdi e Sinistra;13
2024-06-08;1;Elezione del Parlamento Europeo;9;1;Alternativa Popolare;1
2024-06-08;1;Elezione del Parlamento Europeo;9;1;Azione - Siamo Europei;20
