"carne" "calorie"
"1" "Bovina" 186
"2" "Bovina" 149
"3" "Bovina" 158
"4" "Bovina" 148
"5" "Bovina" 141
"6" "Bovina" 157
"7" "Bovina" 135
"8" "Mista" 191
"9" "Mista" 172
"10" "Mista" 139
"11" "Mista" 179
"12" "Mista" 195
"13" "Mista" 138
"14" "Pollame" 102
"15" "Pollame" 102
"16" "Pollame" 107
"17" "Pollame" 142
"18" "Pollame" 152
"19" "Bovina" 181
"20" "Bovina" 184
"21" "Bovina" 139
"22" "Bovina" 152
"23" "Bovina" 153
"24" "Bovina" 131
"25" "Bovina" 132
"26" "Mista" 182
"27" "Mista" 147
"28" "Mista" 175
"29" "Mista" 153
"30" "Mista" 135
"31" "Pollame" 129
"32" "Pollame" 106
"33" "Pollame" 87
"34" "Pollame" 113
"35" "Pollame" 86
"36" "Pollame" 146
"37" "Bovina" 176
"38" "Bovina" 190
"39" "Bovina" 175
"40" "Bovina" 111
"41" "Bovina" 190
"42" "Bovina" 149
"43" "Mista" 173
"44" "Mista" 190
"45" "Mista" 146
"46" "Mista" 136
"47" "Mista" 107
"48" "Mista" 140
"49" "Pollame" 132
"50" "Pollame" 94
"51" "Pollame" 99
"52" "Pollame" 135
"53" "Pollame" 143
"54" "Pollame" 144
