"lunghezza" "ospite"
"1" 21.05 "Pettirosso"
"2" 21.85 "Pettirosso"
"3" 22.05 "Pettirosso"
"4" 22.05 "Pettirosso"
"5" 22.05 "Pettirosso"
"6" 22.25 "Pettirosso"
"7" 22.45 "Pettirosso"
"8" 22.45 "Pettirosso"
"9" 22.65 "Pettirosso"
"10" 23.05 "Pettirosso"
"11" 23.05 "Pettirosso"
"12" 23.05 "Pettirosso"
"13" 23.05 "Pettirosso"
"14" 23.05 "Pettirosso"
"15" 23.25 "Pettirosso"
"16" 23.85 "Pettirosso"
"17" 19.85 "Scricciolo"
"18" 20.05 "Scricciolo"
"19" 20.25 "Scricciolo"
"20" 20.85 "Scricciolo"
"21" 20.85 "Scricciolo"
"22" 20.85 "Scricciolo"
"23" 21.05 "Scricciolo"
"24" 21.05 "Scricciolo"
"25" 21.05 "Scricciolo"
"26" 21.25 "Scricciolo"
"27" 21.45 "Scricciolo"
"28" 22.05 "Scricciolo"
"29" 22.05 "Scricciolo"
"30" 22.05 "Scricciolo"
"31" 22.25 "Scricciolo"
